Gm,Date,Opponent,WL,Score,Min,Pts,ORb,DRb,Reb,Ast,Stl,Blk,TO,PF,FGM/A,3PM/A,FTM/A,
1,Nov. 03,vs. Hawks,W ,112 - 82,24,12,0,3,3,4,2,0,3,2,6,-,12,0,-,2,0,-,0,
2,Nov. 05,@ 76ers,W ,108 - 98,32,9,0,4,4,10,0,0,4,5,3,-,5,1,-,1,2,-,2,
3,Nov. 06,@ Nets,W ,112 - 80,37,17,1,1,2,8,3,0,6,0,6,-,8,1,-,1,4,-,4,
4,Nov. 09,@ Bulls,W,94 - 74,33,8,0,3,3,12,0,0,1,3,3,-,9,0,-,3,2,-,2,
5,Nov. 10,@ Cavaliers,L ,109 - 114OT,50,15,1,6,7,17,0,0,1,5,5,-,13,1,-,3,4,-,6,
6,Nov. 13,vs. Kings,L ,111 - 113,36,29,2,1,3,7,0,0,3,3,11,-,16,5,-,8,2,-,2,
7,Nov. 16,@ Mavericks,W,107 - 101,42,17,0,6,6,18,0,0,10,4,7,-,15,2,-,8,1,-,1,
8,Nov. 17,@ Hornets,W ,95 - 84,35,16,1,5,6,12,2,0,4,0,6,-,10,2,-,2,2,-,2,
9,Nov. 19,vs. Lakers,W ,107 - 102,39,18,0,1,1,16,0,0,3,1,7,-,11,2,-,3,2,-,2,
10,Nov. 21,@ Clippers,W,122 - 111,39,22,0,3,3,18,4,0,4,3,8,-,10,2,-,3,4,-,6,
11,Nov. 22,vs. Bulls,W ,100 - 82,29,15,0,1,1,6,2,0,3,1,6,-,10,1,-,3,2,-,3,
12,Nov. 24,vs. Bucks,W ,111 - 104,31,22,0,1,1,12,1,0,1,4,11,-,16,0,-,2,0,-,1,
13,Nov. 26,vs. Hornets,W ,95 - 86,18,4,0,0,0,6,1,0,2,0,1,-,7,0,-,2,2,-,2,
14,Nov. 30,@ Jazz,W ,115 - 102,38,20,0,0,0,14,3,0,1,3,6,-,12,1,-,3,7,-,7,
15,Dec. 01,vs. Cavaliers,W ,120 - 101,31,21,3,4,7,7,1,0,1,0,8,-,13,3,-,4,2,-,2,
16,Dec. 03,vs. Timberwolves,L ,93 - 97,38,22,1,2,3,8,0,0,3,3,9,-,17,0,-,3,4,-,4,
17,Dec. 05,@ Trail Blazers,W,121 - 99,28,10,0,3,3,11,0,0,2,1,4,-,7,0,-,1,2,-,2,
18,Dec. 07,vs. Warriors,W ,118 - 104,38,26,1,5,6,11,0,0,6,2,10,-,17,3,-,5,3,-,3,
19,Dec. 08,@ Lakers,W ,113 - 110,40,12,1,5,6,10,2,0,3,0,5,-,13,2,-,6,0,-,0,
20,Dec. 10,vs. Bobcats,W ,115 - 106,37,9,0,2,2,14,1,0,3,3,4,-,12,1,-,4,0,-,0,
21,Dec. 13,vs. Magic,W ,121 - 100,28,6,2,3,5,10,0,0,3,5,2,-,7,2,-,3,0,-,0,
22,Dec. 15,vs. Jazz,W ,108 - 86,28,13,0,1,1,11,1,0,2,0,3,-,7,0,-,3,7,-,8,
23,Dec. 17,@ Supersonics,W ,112 - 110,36,21,1,5,6,12,0,0,3,3,8,-,14,1,-,3,4,-,4,
24,Dec. 18,vs. Wizards,W ,110 - 96,36,13,1,4,5,11,3,0,3,2,6,-,12,1,-,2,0,-,0,
25,Dec. 20,@ Nuggets,W ,107 - 105,36,15,0,1,1,10,0,0,6,2,6,-,11,1,-,2,2,-,2,
26,Dec. 23,vs. Grizzlies,W ,109 - 102,40,17,0,2,2,14,0,1,2,1,5,-,13,1,-,3,6,-,7,
27,Dec. 26,vs. Raptors,W ,106 - 94,37,18,0,2,2,13,1,0,4,2,7,-,9,3,-,5,1,-,2,
28,Dec. 28,@ Spurs,L ,94 - 115,30,12,0,3,3,4,1,0,3,4,4,-,14,1,-,1,3,-,3,
29,Dec. 29,@ Hornets,W ,107 - 96,37,22,1,2,3,9,1,0,3,0,8,-,11,2,-,4,4,-,4,
30,Jan. 02,vs. Trail Blazers,W ,117 - 98,35,4,1,2,3,10,1,0,3,2,1,-,6,0,-,1,2,-,2,
31,Jan. 04,@ Timberwolves,W ,122 - 115,36,20,0,3,3,16,2,0,3,3,6,-,11,1,-,2,7,-,7,
32,Jan. 05,@ Rockets,W ,108 - 98,37,12,0,4,4,13,1,0,2,1,5,-,13,2,-,6,0,-,0,
33,Jan. 08,@ Clippers,W ,108 - 91,31,10,0,3,3,10,1,0,3,0,4,-,9,0,-,1,2,-,2,
34,Jan. 09,vs. Pacers,W ,124 - 89,28,10,0,1,1,9,1,0,4,2,5,-,12,0,-,2,0,-,0,
35,Jan. 11,vs. Heat,W ,122 - 107,33,16,0,1,1,16,1,0,2,1,7,-,12,0,-,4,2,-,2,
36,Jan. 12,@ Jazz,L ,108 - 115,40,22,2,1,3,11,2,0,4,3,7,-,16,2,-,6,6,-,6,
37,Jan. 14,@ Pacers,L ,83 - 101,11,11,0,1,1,2,1,0,1,0,5,-,7,1,-,2,0,-,0,
38,Jan. 21,vs. Spurs,L ,123 - 128OT,45,16,0,2,2,13,1,0,7,2,6,-,13,2,-,3,2,-,2,
39,Jan. 23,vs. Nets,W ,113 - 105,40,30,3,0,3,9,0,0,3,0,10,-,15,5,-,6,5,-,5,
40,Jan. 25,@ Knicks,W ,133 - 118,36,9,0,6,6,7,1,0,2,0,3,-,7,0,-,1,3,-,4,
41,Jan. 26,@ Bucks,W ,121 - 115,39,21,2,4,6,17,3,0,3,1,7,-,14,2,-,2,5,-,6,
42,Jan. 28,@ Celtics,W ,128 - 119,35,13,0,2,2,15,1,1,3,5,5,-,10,0,-,2,3,-,4,
43,Jan. 30,@ Raptors,W ,123 - 105,29,19,2,1,3,12,1,0,2,1,7,-,12,1,-,3,4,-,4,
44,Feb. 01,@ Grizzlies,L ,97 - 108,37,7,2,2,4,12,0,0,5,1,3,-,8,1,-,2,0,-,0,
45,Feb. 02,@ Timberwolves,W ,108 - 79,27,15,1,2,3,11,1,0,0,1,7,-,13,0,-,1,1,-,2,
46,Feb. 05,vs. Knicks,W ,114 - 106,37,26,3,0,3,14,1,0,2,1,9,-,18,1,-,2,7,-,9,
47,Feb. 08,@ Kings,W ,125 - 123,37,33,1,1,2,17,0,0,5,3,12,-,20,2,-,4,7,-,8,
48,Feb. 11,vs. Supersonics,L,105 - 113,39,25,3,4,7,14,0,0,1,5,9,-,17,2,-,4,5,-,5,
49,Feb. 13,@ Warriors,W ,106 - 102OT,43,20,0,3,3,12,1,0,7,3,8,-,21,2,-,3,2,-,2,
50,Feb. 14,vs. Jazz,W 136 - 128,37,19,0,4,4,18,1,0,2,4,6,-,13,2,-,3,5,-,5,
51,Feb. 17,vs. Mavericks,L ,113 - 119,36,19,0,0,0,11,0,0,3,1,7,-,16,2,-,4,3,-,3,
52,Mar. 03,vs. Pistons,W ,100 - 97,32,16,2,1,3,14,1,0,2,1,5,-,12,2,-,4,4,-,4,
53,Mar. 05,vs. Trail Blazers,W,129 - 116,24,9,0,0,0,8,2,0,1,2,4,-,5,0,-,0,1,-,3,
54,Mar. 06,@ Supersonics,W,110 - 99,33,12,1,2,3,10,1,0,3,2,4,-,10,1,-,3,3,-,6,
55,Mar. 09,vs. Spurs,W ,107 - 101,39,11,0,5,5,15,0,0,9,3,5,-,13,1,-,2,0,-,0,
56,Mar. 11,vs. Rockets,L ,107 - 127,37,10,0,4,4,10,0,0,2,1,2,-,10,1,-,5,5,-,6,
57,Mar. 13,@ Nuggets,W,106 - 101,37,25,1,5,6,11,0,1,3,2,10,-,14,1,-,1,4,-,5,
58,Mar. 18,vs. Warriors,L ,100 - 110,35,12,0,2,2,13,0,0,4,3,3,-,8,0,-,2,6,-,6,
59,Mar. 20,@ Grizzlies,W ,97 - 91,34,13,0,3,3,13,1,0,5,0,4,-,6,1,-,3,4,-,5,
60,Mar. 22,@ Hawks,W ,105 - 94,31,13,1,3,4,11,1,0,4,1,5,-,11,1,-,1,2,-,2,
61,Mar. 23,@ Bobcats,W ,120 - 105,28,11,1,2,3,10,2,0,0,1,4,-,9,1,-,2,2,-,2,
62,Mar. 25,@ Heat,L ,115 - 125,37,19,1,4,5,14,0,0,3,1,5,-,8,1,-,1,8,-,8,
63,Mar. 26,@ Magic,W ,118 - 116,36,23,2,2,4,12,4,0,3,2,7,-,13,1,-,2,8,-,8,
64,Mar. 28,vs. Nuggets,W ,123 - 114,36,23,1,0,1,12,1,0,6,2,7,-,10,1,-,1,8,-,10,
65,Mar. 30,vs. 76ers,W ,116 - 87,27,12,2,11,13,12,0,0,3,1,4,-,7,0,-,0,4,-,4,
66,Apr. 01,vs. Timberwolves,W ,107 - 98,36,28,0,2,2,11,0,0,3,2,10,-,15,4,-,5,4,-,4,
67,Apr. 03,@ Rockets,W ,91 - 78,35,5,0,0,0,11,2,0,6,0,2,-,8,1,-,4,0,-,0,
68,Apr. 05,vs. Lakers,W ,125 - 99,24,8,1,3,4,9,0,1,2,0,4,-,8,0,-,1,0,-,0,
69,Apr. 08,@ Warriors,L 	,119 - 127,33,11,2,1,3,12,4,1,6,3,4,-,12,2,-,5,1,-,1,
70,Apr. 09,vs. Rockets,L ,97 - 98,36,19,1,2,3,5,0,1,3,1,8,-,19,3,-,7,0,-,0,
71,Apr. 11,@ Lakers,W ,108 - 97,39,15,1,6,7,16,1,0,4,0,6,-,12,3,-,4,0,-,1,
72,Apr. 12,vs. Hornets,W ,99 - 85,35,6,2,1,3,13,1,0,2,1,3,-,11,0,-,2,0,-,0,
73,Apr. 15,vs. Clippers,W ,98 - 91,41,14,2,1,3,11,1,0,4,2,6,-,17,0,-,4,2,-,2,
74,Apr. 16,vs. Kings,W ,116 - 98,26,4,0,6,6,11,0,0,3,2,2,-,3,0,-,0,0,-,0,
75,Apr. 18,vs. Nuggets,W,128 - 114,26,8,0,0,0,13,2,0,4,1,2,-,2,2,-,2,2,-,2,
76,Apr. 24,vs. Grizzlies,W ,114 - 103,36,11,0,5,5,13,0,0,3,0,3,-,11,1,-,3,4,-,4,
77,Apr. 27,vs. Grizzlies,W ,108 - 103,40,12,1,1,2,15,1,0,4,3,5,-,16,0,-,4,2,-,2,
78,Apr. 29,@ Grizzlies,W ,110 - 90,36,13,0,3,3,8,1,0,2,3,6,-,9,1,-,1,0,-,0,
79,May. 01,@ Grizzlies,W ,123 - 115,38,24,1,3,4,9,0,0,7,1,6,-,10,4,-,6,8,-,10,
80,May. 09,vs. Mavericks,W ,127 - 102,31,11,1,5,6,13,0,0,4,4,4,-,10,1,-,2,2,-,2,
81,May. 11,vs. Mavericks,L ,106 - 108,42,23,0,3,3,13,0,0,3,2,9,-,22,0,-,5,5,-,5,
82,May. 13,@ Mavericks,W ,119 - 102,42,27,0,3,3,17,2,0,7,1,12,-,21,1,-,5,2,-,3,
83,May. 15,@ Mavericks,L ,109 - 119,43,48,1,4,5,5,3,1,9,4,20,-,28,4,-,6,4,-,4,
84,May. 18,vs. Mavericks,W ,114 - 108,42,34,0,13,13,12,1,0,5,0,13,-,26,2,-,5,6,-,6,
85,May. 20,@ Mavericks,W ,130 - 126OT,50,39,5,4,9,12,0,1,4,5,14,-,24,5,-,8,6,-,6,
86,May. 22,vs. Spurs,L ,114 - 121,41,29,0,4,4,13,1,1,6,5,12,-,22,0,-,0,5,-,5,
87,May. 24,vs. Spurs,L ,108 - 111,46,29,0,5,5,15,1,0,5,2,13,-,22,1,-,2,2,-,2,
88,May. 28,@ Spurs,L ,92 - 102,40,20,0,2,2,3,1,0,6,2,8,-,18,1,-,3,3,-,4,
89,May. 30,@ Spurs,W ,111 - 106,41,17,0,4,4,12,2,0,2,2,6,-,10,0,-,1,5,-,5,
90,Jun. 01,vs. Spurs,L ,95 - 101,42,21,0,4,4,10,1,0,3,2,9,-,20,0,-,3,3,-,4,